Id,Age,Geo,Gender,Language_Spoken,Language_Used,Education,Employed,Occupation,HH_Income,Ethnic_Background,Labels
18533,45-49,Ontario,Male,Other,English,Bachelors Degrees,Full-Time,Professionals,$100000-$124999,White,Chicken_Chicken Past 30 1-2
18534,70+,Quebec,Male,English,English,None,Not Employed,Professionals,$100000-$124999,White,Popeyes 1-2
18535,50-54,Quebec,Male,English,English,Bachelors Degrees,Not Employed,Technical/Sales/Teaching/Other White Collar,Under $25000,South Asian (East Indian Pakistani),Burgers_Burger Past 30 1-2
18536,25-29,Alberta,Female,Other,English,Elementary School Graduation Cert,Full-Time,Other,$125000-$149999,South Asian (East Indian Pakistani),Burgers_Burger Past 30 1-2
18537,55-59,Alberta,Female,English,English,Trade Certificate/Diploma,Full-Time,Technical/Sales/Teaching/Other White Collar,$25000-$34999,White,Burgers_Burger Past 30 1-2
18538,40-44,Ontario,Female,Chinese - Mandarin,English,High School Graduation Certificate,Full-Time,Other,$50000-$59999,White,Burgers_Burger Past 30 1-2
18539,40-44,Ontario,Female,English,English,Other Certificate/Diploma Not Univ,Full-Time,Technical/Sales/Teaching/Other White Collar,$150000-$199999,White,Chicken_Chicken past 30 3-4
18540,18 Years,Ontario,Male,English,French,Trade Certificate/Diploma,Full-Time,Other,$60000-$74999,Other,Burgers_Burger Past 30 1-2
18541,60-64,Alberta,Female,English,English,Other Certificate/Diploma Not Univ,Not Employed,Technical/Sales/Teaching/Other White Collar,$75000-$99999,White,Burgers_Burger Past 30 1-2
18542,55-59,Quebec,Male,Arabic,English,Bachelors Degrees,Full-Time,Unskilled,$50000-$59999,Filipino,Burgers_Burger Past 30 1-2
18543,55-59,New Brunswick,Female,English,English,High School Graduation Certificate,Not Employed,Clerical/Secretarial,$200000 Or Over,White,Burgers_Burger Past 30 5+
18544,65-69,Quebec,Male,English,English,None,Not Employed,Professionals,$125000-$149999,White,Chicken_Chicken past 30 3-4
18545,30-34,Quebec,Female,Chinese - Mandarin,English,High School Graduation Certificate,Full-Time,Other Managers,$75000-$99999,White,Burgers_Burger past 30 3-4
18546,35-39,British Columbia,Female,English,English,High School Graduation Certificate,Not Employed,Other,$200000 Or Over,South Asian (East Indian Pakistani),Burgers_Burger past 30 3-4
18547,55-59,Ontario,Female,English,Polish,High School Graduation Certificate,Full-Time,Senior Managers/Owners,Under $25000,White,Chicken_Chicken Past 30 1-2
18548,35-39,Ontario,Male,French,English,Other Certificate/Diploma Not Univ,Not Employed,Professionals,$75000-$99999,White,Burgers_Burger past 30 3-4
18549,65-69,British Columbia,Female,English,English,Other Certificate/Diploma Not Univ,Not Employed,Skilled,Under $25000,East/South Asian (Cambodian Indonesian),Burgers_Burger past 30 3-4
18550,25-29,Quebec,Female,English,English,Elementary School Graduation Cert,Not Employed,Technical/Sales/Teaching/Other White Collar,$100000-$124999,White,Burgers_Burger Past 30 1-2
18551,40-44,Ontario,Female,French,Chinese-Cantonese,None,Not Employed,Other,$40000-$49999,Filipino,Chicken_Chicken Past 30 1-2
18552,50-54,Ontario,Female,English,English,Bachelors Degrees,Not Employed,Professionals,$50000-$59999,White,Chicken_Chicken Past 30 1-2
18553,70+,Ontario,Female,Other,Indian-Punjabi,Elementary School Graduation Cert,Part-Time,Skilled,$60000-$74999,Other,Chicken_Chicken Past 30 1-2
18554,15-17,Quebec,Female,Other,English,High School Graduation Certificate,Not Employed,Other Managers,$100000-$124999,White,Burgers_Burger Past 30 1-2
18555,40-44,Ontario,Female,Indian-Other,English,Other Certificate/Diploma Not Univ,Not Employed,Other Managers,$60000-$74999,White,Chicken_Chicken Past 30 1-2
18556,22-24,Quebec,Male,English,Chinese-Cantonese,Univ Cert/Dipl Below Bachelor Level,Full-Time,Other Managers,$40000-$49999,White,Burgers_Burger Past 30 1-2
18557,35-39,Ontario,Male,French,English,Elementary School Graduation Cert,Full-Time,Other,$150000-$199999,White,Burgers_Burger Past 30 1-2
18558,35-39,British Columbia,Male,English,English,Elementary School Graduation Cert,Full-Time,Other,$35000-$39999,Chinese,Chicken_Chicken Past 30 1-2
18559,15-17,Ontario,Male,English,English,Trade Certificate/Diploma,Full-Time,Technical/Sales/Teaching/Other White Collar,$50000-$59999,White,Burgers_Burger Past 30 1-2
18560,70+,Quebec,Male,English,English,High School Graduation Certificate,Not Employed,Other,$100000-$124999,White,Burgers_Burger Past 30 1-2
18561,65-69,Ontario,Male,Spanish,English,Elementary School Graduation Cert,Full-Time,Skilled,Under $25000,White,Popeye (Less) 3-4
18562,70+,Alberta,Male,English,English,Univ Cert/Dipl Above Bachelor Level,Full-Time,Unskilled,$35000-$39999,White,Burgers_Burger past 30 3-4
18563,55-59,Ontario,Female,Indian-Hindi,French,Trade Certificate/Diploma,Full-Time,Other,Under $25000,White,Burgers_Burger past 30 3-4
18564,45-49,Quebec,Female,English,French,Elementary School Graduation Cert,Not Employed,Unskilled,$60000-$74999,White,Burgers_Burger Past 30 1-2
18565,55-59,Quebec,Female,French,English,Trade Certificate/Diploma,Not Employed,Senior Managers/Owners,$100000-$124999,White,Popeyes 1-2
18566,60-64,Quebec,Female,French,English,High School Graduation Certificate,Full-Time,Technical/Sales/Teaching/Other White Collar,Under $25000,White,Burgers_Burger Past 30 1-2
18567,30-34,Newfoundland and Labrador,Female,German,English,Elementary School Graduation Cert,Full-Time,Clerical/Secretarial,$35000-$39999,Not Stated,Burgers_Burger past 30 3-4
18568,40-44,Quebec,Male,Indian-Hindi,Chinese-Cantonese,Trade Certificate/Diploma,Full-Time,Other Managers,Under $25000,White,Burgers_Burger Past 30 5+
18569,60-64,Ontario,Male,English,English,High School Graduation Certificate,Full-Time,Unskilled,$125000-$149999,White,Burgers_Burger past 30 3-4
18570,45-49,Alberta,Female,Indian-Other,English,None,Not Employed,Other,$100000-$124999,White,Chicken_Chicken Past 30 1-2
18571,65-69,British Columbia,Male,Polish,English,High School Graduation Certificate,Not Employed,Other,$75000-$99999,White,Chicken_Chicken Past 30 1-2
18572,40-44,British Columbia,Male,Italian,English,Masters Degrees,Full-Time,Other,$75000-$99999,South Asian (East Indian Pakistani),Chicken_Chicken Past 30 1-2
18573,25-29,British Columbia,Female,French,English,Trade Certificate/Diploma,Full-Time,Professionals,$100000-$124999,White,Burgers_Burger Past 30 1-2
18574,65-69,Alberta,Male,English,French,Bachelors Degrees,Not Employed,Professionals,$50000-$59999,White,Chicken_Chicken past 30 3-4
18575,30-34,Ontario,Male,English,English,High School Graduation Certificate,Not Employed,Other,Under $25000,White,Burgers_Burger past 30 3-4
18576,35-39,Ontario,Female,Other,English,Trade Certificate/Diploma,Not Employed,Other Managers,$35000-$39999,Chinese,Burgers_Burger past 30 3-4
18577,35-39,Ontario,Female,French,English,Other Certificate/Diploma Not Univ,Not Employed,Technical/Sales/Teaching/Other White Collar,$60000-$74999,White,Chicken_Chicken Past 30 1-2
18578,45-49,Nova Scotia,Male,Other,English,Bachelors Degrees,Full-Time,Clerical/Secretarial,Under $25000,White,Burgers_Burger Past 30 1-2
18579,50-54,New Brunswick,Male,French,English,Bachelors Degrees,Full-Time,Other,$50000-$59999,White,Chicken_Chicken past 30 3-4
18580,30-34,Saskatchewan,Female,English,Other,Trade Certificate/Diploma,Part-Time,Technical/Sales/Teaching/Other White Collar,$100000-$124999,White,Popeye (Less) 1-2
18581,65-69,Alberta,Female,English,French,Trade Certificate/Diploma,Not Employed,Other,$35000-$39999,White,Burgers_Burger Past 30 1-2
18582,65-69,Alberta,Female,French,French,Other Certificate/Diploma Not Univ,Full-Time,Professionals,Under $25000,Arab,Burgers_Burger Past 30 1-2
18583,50-54,Ontario,Female,English,English,Other Certificate/Diploma Not Univ,Not Employed,Unskilled,$125000-$149999,White,Chicken_Chicken Past 30 1-2
18584,60-64,Ontario,Female,Other,English,High School Graduation Certificate,Not Employed,Senior Managers/Owners,$40000-$49999,White,Chicken_Chicken past 30 3-4
18585,45-49,New Brunswick,Male,English,Other,High School Graduation Certificate,Full-Time,Unskilled,$100000-$124999,White,Chicken_Chicken Past 30 1-2
18586,35-39,Ontario,Female,English,English,Elementary School Graduation Cert,Full-Time,Other Managers,Under $25000,White,Burgers_Burger Past 30 1-2
18587,70+,Ontario,Male,English,French,Earned Doctorate,Not Employed,Clerical/Secretarial,$60000-$74999,South Asian (East Indian Pakistani),Chicken_Chicken past 30 3-4
18588,50-54,British Columbia,Female,English,English,High School Graduation Certificate,Full-Time,Other,$60000-$74999,Aboriginal,Burgers_Burger Past 30 1-2
18589,60-64,Newfoundland and Labrador,Male,English,English,Bachelors Degrees,Full-Time,Other,$25000-$34999,White,Chicken_Chicken Past 30 1-2
18590,70+,Newfoundland and Labrador,Female,English,English,High School Graduation Certificate,Not Employed,Skilled,$40000-$49999,White,Burgers_Burger past 30 3-4
18591,70+,Ontario,Female,English,English,Masters Degrees,Full-Time,Other,$75000-$99999,White,Burgers_Burger Past 30 1-2
18592,70+,Quebec,Male,English,English,High School Graduation Certificate,Not Employed,Other,$100000-$124999,South Asian (East Indian Pakistani),Burgers_Burger Past 30 1-2
18593,22-24,Ontario,Female,English,English,Other Certificate/Diploma Not Univ,Not Employed,Clerical/Secretarial,$100000-$124999,White,Chicken_Chicken past 30 3-4
18594,50-54,Alberta,Male,English,English,Elementary School Graduation Cert,Full-Time,Other,$60000-$74999,White,Chicken_Chicken Past 30 1-2
18595,70+,Ontario,Male,French,Chinese - Mandarin,High School Graduation Certificate,Full-Time,Professionals,$25000-$34999,White,Chicken_Chicken Past 30 1-2
18596,70+,Ontario,Female,Italian,English,High School Graduation Certificate,Full-Time,Skilled,$200000 Or Over,White,Chicken_Chicken Past 30 1-2
18597,70+,British Columbia,Male,English,English,High School Graduation Certificate,Full-Time,Skilled,$25000-$34999,Black,Burgers_Burger Past 30 1-2
18598,65-69,Saskatchewan,Male,English,English,High School Graduation Certificate,Not Employed,Technical/Sales/Teaching/Other White Collar,$100000-$124999,White,Chicken_Chicken Past 30 1-2
18599,25-29,Ontario,Female,English,English,Elementary School Graduation Cert,Not Employed,Technical/Sales/Teaching/Other White Collar,$75000-$99999,White,Chicken_Chicken Past 30 1-2
18600,50-54,Alberta,Female,English,English,High School Graduation Certificate,Full-Time,Other,$150000-$199999,Aboriginal,Chicken_Chicken Past 30 1-2
18601,15-17,Ontario,Male,English,English,Elementary School Graduation Cert,Full-Time,Other,$35000-$39999,East/South Asian (Cambodian Indonesian),Burgers_Burger Past 30 1-2
18602,65-69,Quebec,Female,English,French,Elementary School Graduation Cert,Part-Time,Other,Under $25000,White,Chicken_Chicken Past 30 1-2
18603,65-69,Ontario,Male,English,English,Trade Certificate/Diploma,Full-Time,Other,$75000-$99999,Not Stated,Chicken_Chicken past 30 3-4
18604,45-49,Ontario,Female,English,French,High School Graduation Certificate,Not Employed,Other,$100000-$124999,East/South Asian (Cambodian Indonesian),Chicken_Chicken Past 30 5+
18605,45-49,Ontario,Male,English,English,None,Not Employed,Other Managers,$75000-$99999,White,Chicken_Chicken Past 30 1-2
18606,65-69,Alberta,Female,English,English,High School Graduation Certificate,Full-Time,Senior Managers/Owners,$60000-$74999,White,Burgers_Burger Past 30 1-2
18607,45-49,Alberta,Female,English,French,Elementary School Graduation Cert,Full-Time,Unskilled,$75000-$99999,White,Burgers_Burger Past 30 1-2
18608,45-49,Ontario,Female,French,French,None,Part-Time,Other,$35000-$39999,White,Burgers_Burger past 30 3-4
18609,20-21,Alberta,Male,English,English,High School Graduation Certificate,Full-Time,Other,$25000-$34999,White,Chicken_Chicken Past 30 1-2
18610,30-34,Ontario,Male,Other,English,Trade Certificate/Diploma,Full-Time,Unskilled,$60000-$74999,White,Burgers_Burger Past 30 1-2
18611,25-29,British Columbia,Female,French,French,Other Certificate/Diploma Not Univ,Not Employed,Other,$50000-$59999,White,Burgers_Burger Past 30 1-2
18612,60-64,Ontario,Female,English,Tagalog,High School Graduation Certificate,Full-Time,Clerical/Secretarial,$50000-$59999,White,Burgers_Burger Past 30 1-2
18613,40-44,Ontario,Female,English,English,Bachelors Degrees,Full-Time,Other,$35000-$39999,White,Chicken_Chicken Past 30 1-2
18614,50-54,Alberta,Female,Spanish,English,Bachelors Degrees,Full-Time,Other,$75000-$99999,Not Stated,Burgers_Burger Past 30 1-2
18615,35-39,Ontario,Male,Indian-Punjabi,Chinese - Mandarin,High School Graduation Certificate,Full-Time,Other Managers,$35000-$39999,White,Chicken_Chicken Past 30 1-2
18616,40-44,Ontario,Male,French,English,Bachelors Degrees,Part-Time,Other,$150000-$199999,Chinese,Burgers_Burger Past 30 1-2
18617,70+,Quebec,Female,English,English,Elementary School Graduation Cert,Full-Time,Other,Under $25000,White,Chicken_Chicken Past 30 1-2
18618,65-69,Ontario,Female,English,French,Bachelors Degrees,Part-Time,Other,$75000-$99999,Other,Chicken_Chicken Past 30 1-2
18619,30-34,Ontario,Male,English,English,Other Certificate/Diploma Not Univ,Not Employed,Other Managers,$150000-$199999,White,Burgers_Burger Past 30 1-2
18620,70+,Ontario,Male,English,Other,Bachelors Degrees,Not Employed,Clerical/Secretarial,$75000-$99999,White,Burgers_Burger Past 30 1-2
18621,65-69,Ontario,Female,English,English,Other Certificate/Diploma Not Univ,Not Employed,Other,$150000-$199999,White,Burgers_Burger past 30 3-4
18622,65-69,Ontario,Female,English,English,High School Graduation Certificate,Full-Time,Professionals,$25000-$34999,Other,Burgers_Burger Past 30 1-2
18623,50-54,Ontario,Male,English,French,Elementary School Graduation Cert,Not Employed,Senior Managers/Owners,$200000 Or Over,White,Chicken_Chicken Past 30 1-2
18624,60-64,Nova Scotia,Male,English,English,High School Graduation Certificate,Full-Time,Professionals,$40000-$49999,Other,Burgers_Burger past 30 3-4
18625,50-54,British Columbia,Female,English,English,Bachelors Degrees,Not Employed,Other,$35000-$39999,White,Burgers_Burger past 30 3-4
18626,30-34,Ontario,Female,French,English,High School Graduation Certificate,Full-Time,Clerical/Secretarial,$60000-$74999,White,Burgers_Burger past 30 3-4
18627,50-54,Ontario,Female,French,English,Elementary School Graduation Cert,Full-Time,Technical/Sales/Teaching/Other White Collar,$150000-$199999,West Asian (Afghan Iranian etc),Chicken_Chicken Past 30 1-2
18628,50-54,Alberta,Female,English,French,High School Graduation Certificate,Not Employed,Other,$60000-$74999,White,Burgers_Burger past 30 3-4
18629,19 Years,British Columbia,Male,English,French,High School Graduation Certificate,Not Employed,Technical/Sales/Teaching/Other White Collar,Under $25000,White,Popeye (Less) 1-2
18630,22-24,Manitoba,Female,English,French,High School Graduation Certificate,Full-Time,Other,$75000-$99999,White,Burgers_Burger Past 30 1-2
18631,40-44,Ontario,Female,French,English,High School Graduation Certificate,Not Employed,Senior Managers/Owners,$100000-$124999,White,Burgers_Burger Past 30 1-2
18632,50-54,Ontario,Male,Indian-Other,English,Elementary School Graduation Cert,Full-Time,Clerical/Secretarial,$100000-$124999,White,Burgers_Burger Past 30 1-2
18633,30-34,Alberta,Male,German,English,None,Full-Time,Other,$125000-$149999,South Asian (East Indian Pakistani),Burgers_Burger Past 30 1-2
18634,70+,Quebec,Male,French,English,High School Graduation Certificate,Full-Time,Other,$25000-$34999,White,Chicken_Chicken Past 30 5+
18635,30-34,Quebec,Female,Spanish,English,Elementary School Graduation Cert,Full-Time,Technical/Sales/Teaching/Other White Collar,Under $25000,Not Stated,Chicken_Chicken Past 30 1-2
18636,15-17,Ontario,Male,English,English,Elementary School Graduation Cert,Not Employed,Technical/Sales/Teaching/Other White Collar,$40000-$49999,White,Chicken_Chicken Past 30 1-2
18637,40-44,Quebec,Male,English,English,Bachelors Degrees,Not Employed,Other Managers,$125000-$149999,White,Burgers_Burger Past 30 1-2
18638,45-49,British Columbia,Female,English,English,Elementary School Graduation Cert,Part-Time,Other,$125000-$149999,Chinese,Burgers_Burger past 30 3-4
18639,50-54,British Columbia,Male,German,English,Univ Cert/Dipl Above Bachelor Level,Not Employed,Professionals,$75000-$99999,White,Chicken_Chicken Past 30 1-2
18640,70+,Ontario,Male,English,English,High School Graduation Certificate,Full-Time,Clerical/Secretarial,$50000-$59999,White,Burgers_Burger Past 30 1-2
18641,40-44,Saskatchewan,Male,Italian,English,Bachelors Degrees,Part-Time,Skilled,$60000-$74999,White,Popeyes 1-2
18642,45-49,British Columbia,Male,English,Other,Other Certificate/Diploma Not Univ,Part-Time,Senior Managers/Owners,Under $25000,White,Popeyes 1-2
18643,65-69,Ontario,Male,Arabic,English,Bachelors Degrees,Part-Time,Other,$75000-$99999,White,Burgers_Burger Past 30 1-2
18644,18 Years,Ontario,Female,German,English,High School Graduation Certificate,Not Employed,Senior Managers/Owners,$60000-$74999,White,Burgers_Burger Past 30 1-2
18645,40-44,Ontario,Female,French,English,Elementary School Graduation Cert,Not Employed,Professionals,Under $25000,White,Chicken_Chicken past 30 3-4
18646,60-64,Ontario,Female,English,English,Univ Cert/Dipl Below Bachelor Level,Part-Time,Skilled,$100000-$124999,White,Burgers_Burger Past 30 1-2
18647,50-54,Alberta,Female,English,Indian-Other,Bachelors Degrees,Full-Time,Other Managers,$35000-$39999,White,Chicken_Chicken past 30 3-4
18648,70+,Quebec,Female,English,English,Elementary School Graduation Cert,Full-Time,Clerical/Secretarial,Under $25000,White,Chicken_Chicken Past 30 1-2
18649,19 Years,Ontario,Female,English,French,Other Certificate/Diploma Not Univ,Full-Time,Other Managers,$75000-$99999,White,Chicken_Chicken Past 30 1-2
18650,55-59,Nova Scotia,Female,English,Chinese - Mandarin,High School Graduation Certificate,Full-Time,Other,$50000-$59999,Latin/Central and South American,Burgers_Burger Past 30 5+
18651,40-44,Ontario,Male,English,French,Other Certificate/Diploma Not Univ,Not Employed,Professionals,$35000-$39999,White,Burgers_Burger past 30 3-4
18652,70+,Alberta,Female,English,English,Other Certificate/Diploma Not Univ,Full-Time,Professionals,$150000-$199999,White,Burgers_Burger past 30 3-4
18653,65-69,British Columbia,Male,English,Other,Bachelors Degrees,Full-Time,Other Managers,$60000-$74999,White,Chicken_Chicken Past 30 1-2
18654,22-24,Ontario,Male,French,English,Univ Cert/Dipl Above Bachelor Level,Full-Time,Clerical/Secretarial,$25000-$34999,White,Burgers_Burger past 30 3-4
18655,15-17,Quebec,Male,Ukrainian,French,Elementary School Graduation Cert,Full-Time,Senior Managers/Owners,$50000-$59999,White,Burgers_Burger Past 30 1-2
18656,30-34,Ontario,Male,French,English,High School Graduation Certificate,Not Employed,Technical/Sales/Teaching/Other White Collar,$35000-$39999,White,Chicken_Chicken Past 30 1-2
18657,25-29,Quebec,Female,English,English,High School Graduation Certificate,Not Employed,Technical/Sales/Teaching/Other White Collar,$75000-$99999,Arab,Burgers_Burger past 30 3-4
18658,22-24,Ontario,Male,English,French,None,Part-Time,Other,$25000-$34999,White,Chicken_Chicken Past 30 1-2
18659,25-29,Ontario,Female,Arabic,English,Elementary School Graduation Cert,Full-Time,Skilled,$200000 Or Over,White,Burgers_Burger Past 30 1-2
18660,40-44,Quebec,Male,English,English,Bachelors Degrees,Not Employed,Other,$50000-$59999,Not Stated,Burgers_Burger Past 30 1-2
18661,50-54,British Columbia,Female,Spanish,English,High School Graduation Certificate,Part-Time,Other,$75000-$99999,Korean,Chicken_Chicken Past 30 1-2
18662,50-54,Ontario,Female,Spanish,English,Elementary School Graduation Cert,Full-Time,Unskilled,$150000-$199999,White,Burgers_Burger past 30 3-4
18663,50-54,Ontario,Male,English,English,High School Graduation Certificate,Full-Time,Other,$200000 Or Over,White,Chicken_Chicken Past 30 1-2
18664,65-69,Ontario,Male,English,English,Other Certificate/Diploma Not Univ,Not Employed,Other,$40000-$49999,Other,Chicken_Chicken past 30 3-4
18665,30-34,Newfoundland and Labrador,Male,English,Other,High School Graduation Certificate,Not Employed,Professionals,$125000-$149999,White,Chicken_Chicken past 30 3-4
18666,45-49,Alberta,Female,English,English,Univ Cert/Dipl Above Bachelor Level,Full-Time,Other,$60000-$74999,Chinese,Chicken_Chicken Past 30 5+
18667,55-59,Quebec,Female,English,Other,Elementary School Graduation Cert,Full-Time,Skilled,$100000-$124999,South Asian (East Indian Pakistani),Burgers_Burger Past 30 1-2
18668,45-49,British Columbia,Female,English,English,None,Not Employed,Professionals,$150000-$199999,White,Chicken_Chicken Past 30 1-2
18669,65-69,Quebec,Male,English,English,High School Graduation Certificate,Part-Time,Professionals,$35000-$39999,Latin/Central and South American,Burgers_Burger Past 30 1-2
18670,40-44,British Columbia,Female,English,Other,Univ Cert/Dipl Below Bachelor Level,Full-Time,Unskilled,$75000-$99999,South Asian (East Indian Pakistani),Burgers_Burger past 30 3-4
18671,14 Years,Ontario,Female,English,French,Elementary School Graduation Cert,Full-Time,Other,$25000-$34999,Aboriginal,Chicken_Chicken Past 30 1-2
18672,35-39,Alberta,Male,French,French,Elementary School Graduation Cert,Not Employed,Other,$75000-$99999,White,Burgers_Burger Past 30 1-2
18673,15-17,Ontario,Male,French,French,Masters Degrees,Part-Time,Other,$35000-$39999,Black,Burgers_Burger Past 30 1-2
18674,65-69,Quebec,Male,French,English,Elementary School Graduation Cert,Full-Time,Technical/Sales/Teaching/Other White Collar,$150000-$199999,White,Burgers_Burger Past 30 1-2
18675,30-34,British Columbia,Female,English,English,High School Graduation Certificate,Full-Time,Other,$60000-$74999,White,Burgers_Burger Past 30 1-2
18676,30-34,Ontario,Female,French,English,Elementary School Graduation Cert,Not Employed,Clerical/Secretarial,$125000-$149999,White,Burgers_Burger Past 30 1-2
18677,60-64,British Columbia,Male,French,English,Trade Certificate/Diploma,Full-Time,Senior Managers/Owners,$35000-$39999,Aboriginal,Burgers_Burger Past 30 1-2
18678,22-24,Quebec,Female,Chinese - Mandarin,French,Elementary School Graduation Cert,Full-Time,Other Managers,$50000-$59999,White,Burgers_Burger Past 30 5+
18679,19 Years,Alberta,Female,English,English,Other Certificate/Diploma Not Univ,Full-Time,Senior Managers/Owners,$125000-$149999,White,Burgers_Burger Past 30 1-2
18680,25-29,Ontario,Male,Tagalog,English,High School Graduation Certificate,Not Employed,Other,$150000-$199999,White,Burgers_Burger Past 30 1-2
18681,22-24,Ontario,Female,Other,English,High School Graduation Certificate,Full-Time,Other Managers,$40000-$49999,White,Burgers_Burger Past 30 1-2
18682,45-49,Saskatchewan,Female,Indian-Other,English,Bachelors Degrees,Full-Time,Other Managers,$60000-$74999,White,Burgers_Burger Past 30 1-2
18683,35-39,Ontario,Male,English,French,Other Certificate/Diploma Not Univ,Full-Time,Other Managers,$50000-$59999,White,Burgers_Burger Past 30 1-2
18684,45-49,Alberta,Female,French,English,Elementary School Graduation Cert,Full-Time,Other,Under $25000,White,Chicken_Chicken Past 30 1-2
18685,50-54,Ontario,Female,French,English,Elementary School Graduation Cert,Full-Time,Skilled,$150000-$199999,White,Burgers_Burger past 30 3-4
18686,22-24,Alberta,Male,French,English,Masters Degrees,Not Employed,Other,$35000-$39999,White,Burgers_Burger Past 30 1-2
18687,22-24,Quebec,Female,French,English,High School Graduation Certificate,Not Employed,Other,$60000-$74999,White,Chicken_Chicken Past 30 1-2
18688,60-64,Ontario,Female,English,Spanish,Bachelors Degrees,Part-Time,Other,$150000-$199999,White,Burgers_Burger past 30 3-4
18689,40-44,Quebec,Female,French,English,Bachelors Degrees,Not Employed,Clerical/Secretarial,$200000 Or Over,White,Popeyes 1-2
18690,25-29,Alberta,Female,English,English,Other Certificate/Diploma Not Univ,Full-Time,Clerical/Secretarial,$25000-$34999,White,Burgers_Burger Past 30 1-2
18691,60-64,Ontario,Male,English,English,Univ Cert/Dipl Below Bachelor Level,Full-Time,Other,$50000-$59999,White,Burgers_Burger Past 30 1-2
18692,55-59,Nova Scotia,Male,English,English,High School Graduation Certificate,Full-Time,Other,$50000-$59999,White,Chicken_Chicken Past 30 1-2
18693,65-69,Quebec,Female,French,English,High School Graduation Certificate,Not Employed,Other Managers,$75000-$99999,White,Chicken_Chicken Past 30 1-2
18694,30-34,British Columbia,Male,French,English,High School Graduation Certificate,Full-Time,Professionals,$25000-$34999,White,Chicken_Chicken Past 30 1-2
18695,65-69,Ontario,Male,English,English,Earned Doctorate,Not Employed,Unskilled,$60000-$74999,White,Popeyes 5+
18696,60-64,Saskatchewan,Female,English,English,High School Graduation Certificate,Not Employed,Other Managers,$60000-$74999,Black,Chicken_Chicken Past 30 1-2
18697,45-49,Ontario,Male,English,English,High School Graduation Certificate,Full-Time,Other,$25000-$34999,White,Chicken_Chicken Past 30 1-2
18698,22-24,Alberta,Female,English,English,Trade Certificate/Diploma,Full-Time,Clerical/Secretarial,$100000-$124999,South Asian (East Indian Pakistani),Burgers_Burger Past 30 1-2
18699,35-39,Ontario,Female,French,Other,Elementary School Graduation Cert,Not Employed,Other,$60000-$74999,White,Burgers_Burger Past 30 1-2
18700,70+,Ontario,Male,English,English,Elementary School Graduation Cert,Not Employed,Skilled,$75000-$99999,White,Burgers_Burger Past 30 1-2
18701,65-69,Ontario,Female,English,Chinese - Mandarin,Bachelors Degrees,Not Employed,Other Managers,$75000-$99999,White,Burgers_Burger Past 30 1-2
18702,55-59,Ontario,Female,English,French,High School Graduation Certificate,Not Employed,Other,Under $25000,Not Stated,Burgers_Burger past 30 3-4
18703,55-59,Quebec,Male,English,English,Trade Certificate/Diploma,Not Employed,Technical/Sales/Teaching/Other White Collar,$40000-$49999,White,Burgers_Burger Past 30 1-2
18704,55-59,Ontario,Male,English,English,Elementary School Graduation Cert,Full-Time,Other Managers,$75000-$99999,White,Burgers_Burger Past 30 1-2
18705,65-69,Saskatchewan,Female,English,English,High School Graduation Certificate,Part-Time,Other,$125000-$149999,White,Burgers_Burger Past 30 1-2
18706,45-49,Alberta,Female,English,English,High School Graduation Certificate,Full-Time,Professionals,Under $25000,White,Burgers_Burger Past 30 1-2
18707,65-69,Ontario,Female,English,English,Univ Cert/Dipl Below Bachelor Level,Full-Time,Other Managers,$60000-$74999,White,Burgers_Burger Past 30 1-2
18708,30-34,Ontario,Male,French,English,High School Graduation Certificate,Full-Time,Technical/Sales/Teaching/Other White Collar,$50000-$59999,White,Chicken_Chicken past 30 3-4
18709,70+,Saskatchewan,Male,French,English,High School Graduation Certificate,Not Employed,Clerical/Secretarial,$60000-$74999,White,Burgers_Burger Past 30 1-2
18710,22-24,Ontario,Male,English,English,High School Graduation Certificate,Not Employed,Other,$25000-$34999,White,Burgers_Burger Past 30 1-2
18711,65-69,Quebec,Female,English,English,High School Graduation Certificate,Not Employed,Technical/Sales/Teaching/Other White Collar,$100000-$124999,White,Burgers_Burger Past 30 1-2
18712,65-69,Ontario,Female,English,English,Other Certificate/Diploma Not Univ,Full-Time,Other Managers,$150000-$199999,White,Chicken_Chicken Past 30 1-2
18713,60-64,British Columbia,Male,English,English,Trade Certificate/Diploma,Full-Time,Other Managers,$150000-$199999,White,Burgers_Burger past 30 3-4
18714,35-39,Quebec,Male,English,English,Other Certificate/Diploma Not Univ,Not Employed,Other,Under $25000,White,Chicken_Chicken past 30 3-4
18715,60-64,Ontario,Female,French,English,Elementary School Graduation Cert,Full-Time,Other,$100000-$124999,White,Burgers_Burger past 30 3-4
18716,45-49,Ontario,Male,English,English,High School Graduation Certificate,Full-Time,Other,$100000-$124999,White,Popeye (Less) 1-2
18717,30-34,Quebec,Female,Ukrainian,English,Other Certificate/Diploma Not Univ,Not Employed,Other,$125000-$149999,White,Burgers_Burger past 30 3-4
18718,25-29,Alberta,Female,Portuguese,English,Other Certificate/Diploma Not Univ,Full-Time,Skilled,$125000-$149999,Chinese,Chicken_Chicken Past 30 1-2
18719,45-49,Alberta,Male,English,English,High School Graduation Certificate,Not Employed,Technical/Sales/Teaching/Other White Collar,Under $25000,White,Burgers_Burger Past 30 1-2
18720,15-17,Alberta,Female,English,English,Bachelors Degrees,Full-Time,Skilled,$100000-$124999,White,Chicken_Chicken Past 30 1-2
