,Age,Geo,Gender,Language_Spoken,Language_Used,HH_Structure,Education,Occupation,HH_Income,Personal_Income,Ethnic_Background 
20722,65-69,British Columbia,Male,English,English,Couple With Children Living at Home,High School Graduation Certificate,Other,"$50,000-$59,999","$75,000-$99,999",White
20723,25-29,Quebec,Female,French,English,Adult With Children Living At Home,"""Bachelors Degrees""",Skilled,"$60,000-$74,999",None,White
20724,60-64,Ontario,Male,French,French,Couple With Children Living at Home,Trade Certificate/Diploma,Skilled,"Under $25,000","$60,000-$74,999",White
20725,55-59,Manitoba,Female,English,French,Couple With Children Living at Home,Elementary School Graduation Cert,Other Managers,"$100,000-$124,999","$35,000-$39,999",White
20726,40-44,Ontario,Male,French,French,Adult With Children Living At Home,High School Graduation Certificate,Professionals,"$60,000-$74,999","$60,000-$74,999",White
20727,35-39,Quebec,Female,Arabic,English,Empty Nesters,None,Technical/Sales/Teaching/Other White Collar,"$40,000-$49,999","$100,000-$124,999",White
20728,22-24,Ontario,Female,English,English,Couple With Children Living at Home,Trade Certificate/Diploma,Other,"$100,000-$124,999","Under $25,000",White
20729,30-34,Ontario,Female,French,English,Adult With Children Living At Home,High School Graduation Certificate,Other,"Under $25,000",None,Other
20730,25-29,Alberta,Male,English,English,Adult Living Alone,Univ. Cert./Dipl. Above Bachelor Level,Unskilled,"$40,000-$49,999","$35,000-$39,999",White
20731,65-69,Ontario,Male,French,Other,Couple With Children Living at Home,Trade Certificate/Diploma,Other,"$60,000-$74,999","$35,000-$39,999",White
20732,60-64,Ontario,Female,English,English,Adult Living Alone,"Other Certificate/Diploma, Not Univ.",Other Managers,"$100,000-$124,999","Under $25,000",White
20733,19 Years,Quebec,Male,Italian,French,Couple With Children Living at Home,"""Bachelors Degrees""",Other,"$25,000-$34,999","$60,000-$74,999",White
20734,35-39,Nova Scotia,Male,English,English,Empty Nesters,"Other Certificate/Diploma, Not Univ.",Professionals,"$150,000-$199,999","$60,000-$74,999",Other
20735,40-44,Quebec,Male,English,English,Empty Nesters,"Other Certificate/Diploma, Not Univ.",Technical/Sales/Teaching/Other White Collar,"$100,000-$124,999","$60,000-$74,999",White
20736,45-49,Ontario,Female,French,English,Empty Nesters,Trade Certificate/Diploma,Clerical/Secretarial,"$150,000-$199,999","$75,000-$99,999",White
20737,55-59,British Columbia,Female,French,English,Adult Living Alone,"""Bachelors Degrees""",Other Managers,"$150,000-$199,999","$100,000-$124,999",White
20738,70+,New Brunswick,Female,Arabic,French,Adult Sharing Accommodation,"Other Certificate/Diploma, Not Univ.",Clerical/Secretarial,"$60,000-$74,999","$75,000-$99,999",Black
20739,25-29,British Columbia,Male,Indian-Punjabi,English,Adult Sharing Accommodation,Trade Certificate/Diploma,Professionals,"$100,000-$124,999","Under $25,000",White
20740,70+,Quebec,Female,English,English,Couple - No Children Living At Home,High School Graduation Certificate,Other Managers,"$125,000-$149,999","Under $25,000",White
20741,60-64,Newfoundland and Labrador,Female,English,English,Adult Sharing Accommodation,High School Graduation Certificate,Unskilled,"$35,000-$39,999","$35,000-$39,999",White
20742,45-49,Ontario,Female,English,English,Empty Nesters,Elementary School Graduation Cert,Technical/Sales/Teaching/Other White Collar,"$125,000-$149,999","$25,000-$34,999",Not Stated
20743,55-59,Alberta,Female,English,Other,Couple With Children Living at Home,High School Graduation Certificate,Professionals,"$75,000-$99,999","$25,000-$34,999",Chinese
20744,60-64,Alberta,Male,English,English,Couple With Children Living at Home,Elementary School Graduation Cert,Other Managers,"$75,000-$99,999","$25,000-$34,999",White
20745,40-44,Ontario,Female,Indian-Hindi,French,Adult Living Alone,Univ. Cert./Dipl. Below Bachelor Level,Other,"$125,000-$149,999","$100,000-$124,999",White
20746,19 Years,Quebec,Female,English,English,Couple - No Children Living At Home,Elementary School Graduation Cert,Unskilled,"Under $25,000","$125,000-$149,999",White
20747,50-54,Ontario,Female,Chinese - Mandarin,English,Adult Sharing Accommodation,Trade Certificate/Diploma,Other,"$150,000-$199,999","$50,000-$59,999",White
20748,45-49,Alberta,Male,Spanish,French,Empty Nesters,High School Graduation Certificate,Senior Managers/Owners,"$150,000-$199,999","$50,000-$59,999",Black
20749,45-49,Manitoba,Male,French,English,Couple With Children Living at Home,High School Graduation Certificate,Technical/Sales/Teaching/Other White Collar,"$100,000-$124,999","Under $25,000",Arab
20750,25-29,Alberta,Female,English,English,Empty Nesters,"""Bachelors Degrees""",Other Managers,"$35,000-$39,999","$60,000-$74,999",White
20751,50-54,Quebec,Male,Indian-Other,English,Empty Nesters,"Other Certificate/Diploma, Not Univ.",Other,"Under $25,000","Under $25,000",White
20752,60-64,British Columbia,Male,English,English,Empty Nesters,Trade Certificate/Diploma,Other,"$75,000-$99,999","Under $25,000",White
20753,50-54,Quebec,Male,English,English,Couple With Children Living at Home,Trade Certificate/Diploma,Clerical/Secretarial,"$60,000-$74,999","$35,000-$39,999",White
20754,18 Years,Alberta,Female,Indian-Hindi,Indian-Other,Couple - No Children Living At Home,High School Graduation Certificate,Senior Managers/Owners,"$100,000-$124,999","Under $25,000",Aboriginal
20755,50-54,Quebec,Male,German,English,Adult Sharing Accommodation,Elementary School Graduation Cert,Other Managers,"$60,000-$74,999","$100,000-$124,999",White
20756,70+,Ontario,Male,French,English,Other,Earned Doctorate,Other Managers,"$25,000-$34,999","$60,000-$74,999",White
20757,65-69,Ontario,Male,English,English,Couple - No Children Living At Home,Univ. Cert./Dipl. Above Bachelor Level,Technical/Sales/Teaching/Other White Collar,"$150,000-$199,999","$60,000-$74,999",White
20758,60-64,Newfoundland and Labrador,Female,English,English,Couple With Children Living at Home,Elementary School Graduation Cert,Other,"$50,000-$59,999","$25,000-$34,999",White
20759,40-44,Ontario,Male,Spanish,English,Couple With Children Living at Home,"""Masters Degrees""",Other Managers,"$200,000 Or Over","$50,000-$59,999",White
20760,18 Years,Ontario,Male,Arabic,English,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Other,"$60,000-$74,999","Under $25,000",White
20761,20-21,Quebec,Female,English,English,Couple With Children Living at Home,High School Graduation Certificate,Clerical/Secretarial,"$75,000-$99,999","$125,000-$149,999",White
20762,70+,Ontario,Female,English,English,Couple With Children Living at Home,Univ. Cert./Dipl. Above Bachelor Level,Other,"$25,000-$34,999","Under $25,000",Aboriginal
20763,50-54,Saskatchewan,Female,Other,English,Couple - No Children Living At Home,Elementary School Graduation Cert,Technical/Sales/Teaching/Other White Collar,"$100,000-$124,999",None,Chinese
20764,30-34,Ontario,Male,Italian,English,Adult Living Alone,High School Graduation Certificate,Other Managers,"Under $25,000","$200,000 Or Over",White
20765,45-49,Alberta,Female,Indian-Punjabi,English,Couple With Children Living at Home,Elementary School Graduation Cert,Skilled,"Under $25,000","$40,000-$49,999","East/South Asian (Cambodian, Indonesian)"
20766,25-29,Newfoundland and Labrador,Male,Other,French,Adult Living Alone,"""Bachelors Degrees""",Clerical/Secretarial,"$50,000-$59,999","$40,000-$49,999",White
20767,35-39,Ontario,Female,English,English,Couple With Children Living at Home,High School Graduation Certificate,Other,"$75,000-$99,999","$40,000-$49,999",Chinese
20768,65-69,Ontario,Male,French,English,Empty Nesters,Trade Certificate/Diploma,Clerical/Secretarial,"$35,000-$39,999","Under $25,000",Black
20769,60-64,Ontario,Female,English,English,Adult Living Alone,High School Graduation Certificate,Other,"$60,000-$74,999","Under $25,000",White
20770,40-44,Ontario,Female,French,English,Adult Living Alone,Trade Certificate/Diploma,Other,"$125,000-$149,999","Under $25,000",White
20771,55-59,Saskatchewan,Male,English,Arabic,Couple With Children Living at Home,"""Bachelors Degrees""",Technical/Sales/Teaching/Other White Collar,"$125,000-$149,999","$50,000-$59,999",White
20772,40-44,Saskatchewan,Male,Indian-Punjabi,French,Adult Living Alone,Trade Certificate/Diploma,Skilled,"$100,000-$124,999","$50,000-$59,999","South Asian (East Indian, Pakistani)"
20773,15-17,Ontario,Female,English,French,Couple - No Children Living At Home,Not Stated,Other Managers,"$75,000-$99,999","Under $25,000",White
20774,40-44,Ontario,Female,French,English,Couple With Children Living at Home,Trade Certificate/Diploma,Technical/Sales/Teaching/Other White Collar,"$125,000-$149,999","$35,000-$39,999",Not Stated
20775,60-64,New Brunswick,Male,English,English,Couple With Children Living at Home,"""Bachelors Degrees""",Unskilled,"$25,000-$34,999","$60,000-$74,999",White
20776,60-64,Quebec,Female,Other,Tagalog,Other,"""Bachelors Degrees""",Other,"$60,000-$74,999","$25,000-$34,999",White
20777,50-54,British Columbia,Male,English,English,Couple With Children Living at Home,Elementary School Graduation Cert,Other,"$100,000-$124,999","Under $25,000",White
20778,55-59,Quebec,Female,English,English,Couple With Children Living at Home,High School Graduation Certificate,Other Managers,"$100,000-$124,999","$35,000-$39,999",White
20779,45-49,British Columbia,Female,English,English,Couple With Children Living at Home,Trade Certificate/Diploma,Other Managers,"$40,000-$49,999","Under $25,000",Black
20780,50-54,Saskatchewan,Female,English,English,Couple - No Children Living At Home,"""Bachelors Degrees""",Other,"$150,000-$199,999","$35,000-$39,999",Chinese
20781,25-29,Quebec,Male,French,English,Empty Nesters,Trade Certificate/Diploma,Other,"$60,000-$74,999","$125,000-$149,999",Black
20782,45-49,Ontario,Female,French,English,Couple With Children Living at Home,Trade Certificate/Diploma,Other Managers,"Under $25,000","Under $25,000",White
20783,50-54,Ontario,Male,Indian-Hindi,Spanish,Couple - No Children Living At Home,High School Graduation Certificate,Professionals,"$100,000-$124,999","$50,000-$59,999","South Asian (East Indian, Pakistani)"
20784,40-44,Ontario,Male,French,English,Couple With Children Living at Home,"""Masters Degrees""",Other,"$40,000-$49,999","$50,000-$59,999",White
20785,55-59,Manitoba,Female,English,English,Adult Sharing Accommodation,Trade Certificate/Diploma,Other Managers,"Under $25,000",None,Other
20786,35-39,Ontario,Male,Tagalog,English,Empty Nesters,Univ. Cert./Dipl. Below Bachelor Level,Other,"$50,000-$59,999","$60,000-$74,999",White
20787,15-17,Manitoba,Male,Other,English,Couple With Children Living at Home,Elementary School Graduation Cert,Technical/Sales/Teaching/Other White Collar,"$25,000-$34,999","Under $25,000",White
20788,25-29,British Columbia,Male,Greek,English,Couple - No Children Living At Home,High School Graduation Certificate,Other,"$125,000-$149,999","$40,000-$49,999",White
20789,45-49,Ontario,Male,Other,English,Couple With Children Living at Home,"""Bachelors Degrees""",Other,"Under $25,000","$40,000-$49,999",White
20790,60-64,Quebec,Female,English,English,Empty Nesters,"""Bachelors Degrees""",Other,"$60,000-$74,999","Under $25,000",White
20791,45-49,Quebec,Male,English,English,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Other Managers,"$75,000-$99,999","$75,000-$99,999",White
20792,22-24,Ontario,Male,English,English,Empty Nesters,Elementary School Graduation Cert,Other,"$100,000-$124,999","Under $25,000",White
20793,19 Years,Ontario,Female,French,English,Other,Univ. Cert./Dipl. Below Bachelor Level,Other Managers,"$100,000-$124,999",None,White
20794,70+,Ontario,Female,English,English,Adult With Children Living At Home,High School Graduation Certificate,Other,"$150,000-$199,999","$150,000-$199,999",White
20795,55-59,Alberta,Female,English,English,Empty Nesters,Degree In Medicine/Dentistry/ Veterinary Medic,Senior Managers/Owners,"$35,000-$39,999","$40,000-$49,999","South Asian (East Indian, Pakistani)"
20796,65-69,Ontario,Male,French,English,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Professionals,"$125,000-$149,999","$40,000-$49,999",White
20797,25-29,Ontario,Female,Other,English,Adult With Children Living At Home,"Other Certificate/Diploma, Not Univ.",Unskilled,"$40,000-$49,999","$25,000-$34,999","South Asian (East Indian, Pakistani)"
20798,30-34,Ontario,Female,Chinese-Cantonese,English,Couple With Children Living at Home,Trade Certificate/Diploma,Other,"$125,000-$149,999","Under $25,000",White
20799,45-49,Quebec,Female,French,French,Adult Living Alone,"Other Certificate/Diploma, Not Univ.",Other,"$150,000-$199,999","$25,000-$34,999","South Asian (East Indian, Pakistani)"
20800,20-21,Quebec,Male,Portuguese,English,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Other,"$100,000-$124,999","Under $25,000",White
20801,60-64,Ontario,Male,Indian-Hindi,English,Empty Nesters,"""Bachelors Degrees""",Other,"$200,000 Or Over","$25,000-$34,999",White
20802,55-59,Quebec,Female,French,English,Couple With Children Living at Home,High School Graduation Certificate,Other Managers,"$75,000-$99,999","$25,000-$34,999",White
20803,35-39,British Columbia,Female,French,English,Couple With Children Living at Home,High School Graduation Certificate,Other Managers,"Under $25,000","Under $25,000",Other
20804,15-17,Ontario,Male,French,English,Couple With Children Living at Home,"""Masters Degrees""",Other,"$75,000-$99,999","$40,000-$49,999",White
20805,50-54,Alberta,Male,English,English,Adult Sharing Accommodation,Trade Certificate/Diploma,Other Managers,"$100,000-$124,999","$75,000-$99,999",Other
20806,70+,Ontario,Female,English,French,Couple With Children Living at Home,Elementary School Graduation Cert,Technical/Sales/Teaching/Other White Collar,"Under $25,000","$40,000-$49,999",White
20807,20-21,New Brunswick,Female,French,English,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Other Managers,"$25,000-$34,999","$25,000-$34,999",White
20808,45-49,Ontario,Male,French,English,Couple - No Children Living At Home,"""Bachelors Degrees""",Clerical/Secretarial,"Under $25,000","$35,000-$39,999",Chinese
20809,60-64,Ontario,Male,English,Tagalog,Couple With Children Living at Home,Elementary School Graduation Cert,Technical/Sales/Teaching/Other White Collar,"$75,000-$99,999","Under $25,000",White
20810,60-64,Alberta,Female,English,English,Adult Living Alone,Univ. Cert./Dipl. Above Bachelor Level,Senior Managers/Owners,"$200,000 Or Over","$50,000-$59,999",White
20811,70+,Manitoba,Female,English,French,Couple With Children Living at Home,"""Bachelors Degrees""",Other Managers,"$40,000-$49,999","Under $25,000",White
20812,40-44,Ontario,Female,French,English,Empty Nesters,High School Graduation Certificate,Other,"$75,000-$99,999","$40,000-$49,999",White
20813,55-59,Ontario,Female,English,English,Couple With Children Living at Home,Trade Certificate/Diploma,Professionals,"$25,000-$34,999","$50,000-$59,999",White
20814,55-59,Quebec,Female,Portuguese,English,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Senior Managers/Owners,"$150,000-$199,999","$40,000-$49,999",White
20815,30-34,British Columbia,Female,Other,English,Couple With Children Living at Home,High School Graduation Certificate,Other,"$40,000-$49,999","Under $25,000",White
20816,30-34,British Columbia,Female,English,English,Adult Living Alone,Trade Certificate/Diploma,Senior Managers/Owners,"$200,000 Or Over","$60,000-$74,999",White
20817,65-69,British Columbia,Male,English,French,Couple With Children Living at Home,"""Masters Degrees""",Other,"$50,000-$59,999",None,Not Stated
20818,55-59,Ontario,Male,French,English,Adult Sharing Accommodation,Degree In Medicine/Dentistry/ Veterinary Medic,Other,"$150,000-$199,999","$25,000-$34,999",White
20819,14 Years,Quebec,Female,Italian,French,Empty Nesters,High School Graduation Certificate,Unskilled,"$75,000-$99,999",None,White
20820,55-59,Ontario,Female,Chinese - Mandarin,English,Adult With Children Living At Home,Univ. Cert./Dipl. Below Bachelor Level,Other,"Under $25,000","$25,000-$34,999",Black
20821,45-49,Quebec,Female,English,English,Couple With Children Living at Home,Elementary School Graduation Cert,Other Managers,"$60,000-$74,999","$25,000-$34,999",White
20822,70+,British Columbia,Male,English,English,Other,Elementary School Graduation Cert,Professionals,"$100,000-$124,999","$50,000-$59,999",White
20823,35-39,Ontario,Male,English,English,Adult Sharing Accommodation,"""Bachelors Degrees""",Clerical/Secretarial,"$25,000-$34,999","$35,000-$39,999",Other
20824,70+,Quebec,Male,Other,English,Couple With Children Living at Home,Earned Doctorate,Skilled,"$25,000-$34,999",None,White
20825,70+,Alberta,Male,French,French,Couple - No Children Living At Home,High School Graduation Certificate,Other,"$35,000-$39,999","$40,000-$49,999",White
20826,30-34,Alberta,Male,English,French,Couple - No Children Living At Home,Elementary School Graduation Cert,Other,"$40,000-$49,999","Under $25,000",White
20827,45-49,Alberta,Female,Other,English,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Other,"$200,000 Or Over","$40,000-$49,999",White
20828,25-29,Ontario,Female,French,French,Adult With Children Living At Home,Univ. Cert./Dipl. Above Bachelor Level,Technical/Sales/Teaching/Other White Collar,"$100,000-$124,999","$60,000-$74,999",Aboriginal
20829,55-59,Newfoundland and Labrador,Female,English,English,Adult Sharing Accommodation,Elementary School Graduation Cert,Unskilled,"$125,000-$149,999","$25,000-$34,999",White
20830,25-29,Quebec,Male,English,English,Adult Sharing Accommodation,"""Bachelors Degrees""",Other,"$25,000-$34,999",None,White
20831,30-34,Quebec,Female,English,English,Other,Univ. Cert./Dipl. Above Bachelor Level,Other,"$60,000-$74,999","$60,000-$74,999",Japanese
20832,70+,Ontario,Male,English,English,Empty Nesters,High School Graduation Certificate,Unskilled,"$60,000-$74,999","$75,000-$99,999",White
20833,40-44,Ontario,Male,English,English,Couple With Children Living at Home,Elementary School Graduation Cert,Other Managers,"$100,000-$124,999","Under $25,000",White
20834,30-34,Ontario,Male,French,English,Couple - No Children Living At Home,"""Bachelors Degrees""",Primary,"$60,000-$74,999",None,White
20835,40-44,Alberta,Female,English,English,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Other Managers,"$75,000-$99,999","$100,000-$124,999",Aboriginal
20836,19 Years,Ontario,Female,English,English,Couple With Children Living at Home,High School Graduation Certificate,Professionals,"$60,000-$74,999","$60,000-$74,999",White
20837,22-24,New Brunswick,Female,Other,English,Couple - No Children Living At Home,"""Bachelors Degrees""",Professionals,"$150,000-$199,999","Under $25,000",White
20838,70+,Alberta,Female,English,English,Other,High School Graduation Certificate,Other Managers,"$25,000-$34,999","$40,000-$49,999",White
20839,45-49,Quebec,Male,English,English,Empty Nesters,High School Graduation Certificate,Technical/Sales/Teaching/Other White Collar,"$60,000-$74,999","$75,000-$99,999",Arab
20840,30-34,Ontario,Male,English,English,Empty Nesters,Elementary School Graduation Cert,Other,"$100,000-$124,999","$40,000-$49,999",White
20841,15-17,Ontario,Male,English,French,Adult Living Alone,High School Graduation Certificate,Unskilled,"$25,000-$34,999",None,White
20842,70+,Ontario,Male,English,English,Empty Nesters,"""Bachelors Degrees""",Other Managers,"$50,000-$59,999","$60,000-$74,999",White
20843,65-69,Ontario,Female,English,French,Adult Living Alone,"Other Certificate/Diploma, Not Univ.",Clerical/Secretarial,"$75,000-$99,999","$75,000-$99,999",White
20844,70+,Ontario,Male,English,English,Couple - No Children Living At Home,"""Masters Degrees""",Unskilled,"$100,000-$124,999","$40,000-$49,999",White
20845,25-29,Ontario,Female,English,English,Couple With Children Living at Home,"""Bachelors Degrees""",Clerical/Secretarial,"$125,000-$149,999","$150,000-$199,999",Other
20846,35-39,Saskatchewan,Female,English,English,Empty Nesters,Elementary School Graduation Cert,Unskilled,"$25,000-$34,999","Under $25,000",Chinese
20847,65-69,Ontario,Male,English,English,Adult Sharing Accommodation,"Other Certificate/Diploma, Not Univ.",Other,"$25,000-$34,999","$125,000-$149,999",White
20848,55-59,British Columbia,Female,English,English,Empty Nesters,"""Bachelors Degrees""",Other,"$75,000-$99,999","$100,000-$124,999",Other
20849,45-49,Ontario,Female,English,English,Adult Sharing Accommodation,High School Graduation Certificate,Skilled,"$40,000-$49,999","Under $25,000",White
20850,65-69,Saskatchewan,Female,English,English,Adult Sharing Accommodation,"Other Certificate/Diploma, Not Univ.",Other Managers,"$75,000-$99,999","$100,000-$124,999","South Asian (East Indian, Pakistani)"
20851,30-34,Ontario,Female,Other,English,Couple With Children Living at Home,High School Graduation Certificate,Other,"$100,000-$124,999","$50,000-$59,999",White
20852,65-69,Ontario,Female,French,English,Couple With Children Living at Home,Elementary School Graduation Cert,Other,"$50,000-$59,999","$60,000-$74,999",White
20853,25-29,Ontario,Female,French,French,Couple With Children Living at Home,High School Graduation Certificate,Skilled,"$40,000-$49,999","Under $25,000",White
20854,55-59,Alberta,Female,English,English,Adult Living Alone,High School Graduation Certificate,Professionals,"$200,000 Or Over","$25,000-$34,999",White
20855,45-49,Ontario,Female,Other,English,Adult Living Alone,"Other Certificate/Diploma, Not Univ.",Other Managers,"$100,000-$124,999","$35,000-$39,999",White
20856,65-69,Quebec,Female,French,English,Couple - No Children Living At Home,High School Graduation Certificate,Other,"$75,000-$99,999","Under $25,000",Other
20857,18 Years,Ontario,Male,Other,English,Couple - No Children Living At Home,High School Graduation Certificate,Other,"$60,000-$74,999","$40,000-$49,999",White
20858,15-17,Ontario,Male,English,Arabic,Couple With Children Living at Home,Elementary School Graduation Cert,Other,"$35,000-$39,999","$60,000-$74,999",White
20859,70+,Alberta,Male,English,English,Other,High School Graduation Certificate,Skilled,"$40,000-$49,999","$40,000-$49,999","South Asian (East Indian, Pakistani)"
20860,19 Years,Quebec,Male,English,English,Adult With Children Living At Home,High School Graduation Certificate,Senior Managers/Owners,"$100,000-$124,999","Under $25,000",Not Stated
20861,70+,Quebec,Male,French,English,Adult With Children Living At Home,Elementary School Graduation Cert,Clerical/Secretarial,"Under $25,000","Under $25,000",White
20862,70+,British Columbia,Female,English,English,Couple With Children Living at Home,Univ. Cert./Dipl. Above Bachelor Level,Other,"$75,000-$99,999","Under $25,000","South Asian (East Indian, Pakistani)"
20863,30-34,Quebec,Male,English,English,Empty Nesters,Elementary School Graduation Cert,Other,"$125,000-$149,999","$60,000-$74,999",Other
20864,45-49,Ontario,Male,Other,French,Couple - No Children Living At Home,High School Graduation Certificate,Other,"$125,000-$149,999","$25,000-$34,999",White
20865,70+,Quebec,Male,English,Other,Empty Nesters,Univ. Cert./Dipl. Below Bachelor Level,Professionals,"Under $25,000","$75,000-$99,999",White
20866,55-59,British Columbia,Male,English,Spanish,Empty Nesters,High School Graduation Certificate,Technical/Sales/Teaching/Other White Collar,"Under $25,000","$60,000-$74,999",Chinese
20867,25-29,Ontario,Female,English,French,Adult Sharing Accommodation,Univ. Cert./Dipl. Below Bachelor Level,Other,"$150,000-$199,999","Under $25,000",White
20868,60-64,Ontario,Female,English,French,Adult With Children Living At Home,Univ. Cert./Dipl. Above Bachelor Level,Unskilled,"$150,000-$199,999",None,White
20869,65-69,Ontario,Male,English,English,Empty Nesters,"Other Certificate/Diploma, Not Univ.",Other,"$100,000-$124,999","$40,000-$49,999",Chinese
20870,45-49,Quebec,Female,English,English,Adult Living Alone,"""Bachelors Degrees""",Other Managers,"$60,000-$74,999","Under $25,000",Black
20871,65-69,Ontario,Male,English,Other,Other,Elementary School Graduation Cert,Other Managers,"$50,000-$59,999","Under $25,000",White
20872,35-39,British Columbia,Male,English,English,Couple With Children Living at Home,Elementary School Graduation Cert,Other,"$40,000-$49,999","$75,000-$99,999",Other
20873,30-34,Nova Scotia,Male,French,French,Couple With Children Living at Home,"""Bachelors Degrees""",Skilled,"$125,000-$149,999","$75,000-$99,999","East/South Asian (Cambodian, Indonesian)"
20874,65-69,Quebec,Female,English,English,Couple With Children Living at Home,High School Graduation Certificate,Other Managers,"$60,000-$74,999","Under $25,000",White
20875,35-39,Newfoundland and Labrador,Male,English,French,Adult Living Alone,High School Graduation Certificate,Unskilled,"$50,000-$59,999","$125,000-$149,999",White
20876,25-29,Alberta,Female,English,Polish,Adult Sharing Accommodation,None,Other,"$200,000 Or Over","Under $25,000","South Asian (East Indian, Pakistani)"
20877,30-34,Quebec,Female,French,Other,Adult Living Alone,"""Bachelors Degrees""",Other Managers,"$150,000-$199,999","Under $25,000","South Asian (East Indian, Pakistani)"
20878,65-69,Ontario,Female,English,English,Couple - No Children Living At Home,"Other Certificate/Diploma, Not Univ.",Other,"$200,000 Or Over","Under $25,000",Aboriginal
20879,45-49,Newfoundland and Labrador,Female,French,Other,Couple With Children Living at Home,"""Bachelors Degrees""",Other,"$40,000-$49,999","$35,000-$39,999",White
20880,35-39,Ontario,Female,English,English,Adult Living Alone,Elementary School Graduation Cert,Other,"$50,000-$59,999","$40,000-$49,999",White
20881,65-69,Ontario,Female,English,English,Couple With Children Living at Home,"""Bachelors Degrees""",Other,"Under $25,000","Under $25,000",White
20882,25-29,Ontario,Male,Other,English,Adult With Children Living At Home,"""Bachelors Degrees""",Primary,"$50,000-$59,999","$35,000-$39,999",White
20883,65-69,Alberta,Female,English,English,Couple With Children Living at Home,Trade Certificate/Diploma,Other Managers,"$35,000-$39,999","$75,000-$99,999",White
20884,25-29,Ontario,Female,Portuguese,English,Couple With Children Living at Home,Trade Certificate/Diploma,Other,"$75,000-$99,999","$35,000-$39,999",White
20885,65-69,Quebec,Male,Indian-Punjabi,English,Empty Nesters,High School Graduation Certificate,Senior Managers/Owners,"$50,000-$59,999","Under $25,000",Black
20886,55-59,Ontario,Male,English,English,Other,Elementary School Graduation Cert,Other,"$60,000-$74,999","$60,000-$74,999",White
20887,40-44,Alberta,Male,English,English,Adult Living Alone,High School Graduation Certificate,Clerical/Secretarial,"$60,000-$74,999","Under $25,000",Black
20888,30-34,Alberta,Female,English,English,Empty Nesters,Earned Doctorate,Technical/Sales/Teaching/Other White Collar,"$200,000 Or Over","$25,000-$34,999",White
20889,65-69,Quebec,Male,French,English,Couple - No Children Living At Home,Univ. Cert./Dipl. Below Bachelor Level,Other,"$125,000-$149,999","$40,000-$49,999",Not Stated
20890,45-49,Quebec,Female,English,English,Adult Living Alone,"Other Certificate/Diploma, Not Univ.",Other,"Under $25,000","$35,000-$39,999",Japanese
20891,45-49,Nova Scotia,Male,English,English,Adult Sharing Accommodation,High School Graduation Certificate,Other Managers,"$150,000-$199,999","$75,000-$99,999",White
20892,70+,Ontario,Male,English,English,Couple - No Children Living At Home,High School Graduation Certificate,Technical/Sales/Teaching/Other White Collar,"Under $25,000","$200,000 Or Over",White
20893,50-54,Ontario,Female,Spanish,English,Couple - No Children Living At Home,"""Bachelors Degrees""",Other,"$25,000-$34,999","$40,000-$49,999",White
20894,40-44,Quebec,Male,French,French,Adult With Children Living At Home,Trade Certificate/Diploma,Clerical/Secretarial,"$60,000-$74,999","Under $25,000",White
20895,70+,British Columbia,Male,English,English,Couple - No Children Living At Home,"Other Certificate/Diploma, Not Univ.",Clerical/Secretarial,"$50,000-$59,999","$50,000-$59,999",White
20896,70+,British Columbia,Female,English,Chinese - Mandarin,Couple - No Children Living At Home,High School Graduation Certificate,Other,"Under $25,000","$25,000-$34,999",White
20897,70+,Ontario,Male,German,English,Adult Living Alone,High School Graduation Certificate,Clerical/Secretarial,"$35,000-$39,999","$60,000-$74,999","South Asian (East Indian, Pakistani)"
20898,19 Years,Ontario,Male,German,English,Couple With Children Living at Home,High School Graduation Certificate,Technical/Sales/Teaching/Other White Collar,"$100,000-$124,999","$40,000-$49,999",White
20899,65-69,Ontario,Male,Other,Indian-Punjabi,Couple With Children Living at Home,High School Graduation Certificate,Other,"$100,000-$124,999","$50,000-$59,999",White
20900,60-64,Quebec,Female,English,French,Couple - No Children Living At Home,High School Graduation Certificate,Clerical/Secretarial,"$60,000-$74,999","$35,000-$39,999",White
20901,60-64,Saskatchewan,Female,English,English,Empty Nesters,Elementary School Graduation Cert,Senior Managers/Owners,"Under $25,000",None,White
20902,15-17,Ontario,Male,English,English,Couple - No Children Living At Home,High School Graduation Certificate,Other,"$25,000-$34,999","$75,000-$99,999",White
20903,30-34,Manitoba,Female,Italian,English,Adult With Children Living At Home,Univ. Cert./Dipl. Below Bachelor Level,Other,"$75,000-$99,999","Under $25,000",White
20904,45-49,Quebec,Male,Italian,French,Adult Sharing Accommodation,Elementary School Graduation Cert,Technical/Sales/Teaching/Other White Collar,"$150,000-$199,999","$40,000-$49,999",White
20905,30-34,Ontario,Male,English,English,Empty Nesters,High School Graduation Certificate,Senior Managers/Owners,"$75,000-$99,999",None,"South Asian (East Indian, Pakistani)"
20906,40-44,Quebec,Male,French,French,Other,"Other Certificate/Diploma, Not Univ.",Senior Managers/Owners,"Under $25,000","$125,000-$149,999",White
